temperature,humidity,wind_speed,precipitation,cloud_cover,atmospheric_pressure,season,visibility,location,weather
14.0,73.0,9.5,82.0,partly cloudy,1010.82,Winter,3.5,inland,Rainy
39.0,96.0,8.5,71.0,partly cloudy,1011.43,Spring,10.0,inland,Cloudy
,0.0,7.0,,clear,1018.72,Spring,5.5,mountain,Sunny
38.0,83.0,1.5,82.0,clear,1026.25,Spring,1.0,coastal,Sunny
,74.0,17.0,,overcast,990.67,Winter,2.5,mountain,Rainy
32.0,55.0,3.5,26.0,overcast,1010.03,Summer,5.0,inland,Cloudy
-2.0,97.0,8.0,86.0,overcast,990.87,Winter,4.0,inland,Snowy
,0.0,6.0,96.0,partly cloudy,984.46,Winter,3.5,inland,Snowy
3.0,83.0,6.0,66.0,overcast,999.44,Winter,1.0,mountain,Snowy
28.0,74.0,8.5,107.0,clear,1012.13,Winter,7.5,coastal,Sunny
35.0,45.0,6.0,,partly cloudy,879.88,Spring,1.0,mountain,Cloudy
38.0,43.0,2.0,16.0,clear,1029.16,Autumn,7.5,inland,Sunny
,59.0,10.5,25.0,partly cloudy,1016.08,Autumn,5.5,mountain,Cloudy
-10.0,87.0,15.0,67.0,overcast,986.19,Winter,1.5,inland,Snowy
24.0,21.0,3.5,,clear,1018.88,Winter,5.5,coastal,Sunny
10.0,50.0,6.5,46.0,partly cloudy,1000.44,Summer,8.5,mountain,Cloudy
30.0,27.0,7.0,13.0,partly cloudy,1016.38,Spring,7.5,inland,Sunny
33.0,51.0,0.5,,overcast,1009.18,Autumn,5.5,coastal,Cloudy
43.0,46.0,0.5,15.0,clear,1025.8,Spring,6.0,mountain,Sunny
13.0,102.0,12.0,72.0,clear,1012.25,Summer,8.0,inland,Sunny
-10.0,67.0,8.5,75.0,overcast,991.53,Winter,3.0,mountain,Snowy
-7.0,88.0,12.5,,overcast,980.31,Winter,3.0,inland,Snowy
,36.0,7.5,,clear,1014.29,Summer,9.5,mountain,Sunny
,73.0,13.5,29.0,overcast,1012.02,Summer,9.0,inland,Cloudy
38.0,83.0,7.0,101.0,partly cloudy,1017.94,Spring,8.5,mountain,Cloudy
4.0,79.0,1.0,85.0,partly cloudy,982.53,Winter,4.5,inland,Snowy
17.0,72.0,7.5,62.0,overcast,1010.16,Summer,3.0,mountain,Rainy
40.0,57.0,4.0,,partly cloudy,1020.73,Winter,9.5,coastal,Sunny
,61.0,6.5,,partly cloudy,1018.15,Autumn,5.5,mountain,Sunny
30.0,70.0,16.0,,partly cloudy,1007.75,Winter,3.0,mountain,Rainy
28.0,85.0,7.0,,overcast,991.07,Spring,2.0,coastal,Rainy
2.0,61.0,16.5,63.0,overcast,995.74,Winter,1.0,inland,Snowy
4.0,95.0,2.5,56.0,overcast,984.63,Winter,4.5,inland,Snowy
15.0,97.0,23.0,,overcast,1009.36,Winter,2.5,mountain,Rainy
29.0,0.0,3.0,15.0,clear,1012.09,Winter,5.5,inland,Sunny
35.0,21.0,10.0,6.0,clear,1026.81,Autumn,7.5,coastal,Sunny
11.0,90.0,25.5,76.0,partly cloudy,996.17,Winter,1.0,mountain,Rainy
2.0,105.0,19.0,109.0,overcast,991.68,Winter,3.5,mountain,Snowy
